country,Accelerated,BAU,Moderate
Algeria,3.9759536208251927,4.576543663988901,4.311378385903477
Argentina,3.158773793710198,3.647326843518178,3.431485980928086
Australia,11.601226722435923,13.392022811467465,12.600899199014934
Bangladesh,0.7649204360175322,0.8775724091682311,0.8278697997649345
Belgium,5.2640080545820975,6.091193686006553,5.725583251173668
Brazil,1.8479844591300187,2.1302889282617037,2.005610735351605
Canada,11.838999207174416,13.659873354827635,12.855543367892302
Chile,3.815308207695592,4.4000338855662156,4.141769978511481
China,7.666915488295887,8.827648562928816,8.315144180531316
Colombia,1.5461394049092074,1.7814343753658004,1.677528587291599
Czech Republic,6.306673883834591,7.296883532727373,6.859227835614751
Denmark,3.048145917507661,3.5334156961050422,3.3188502295388207
Egypt,2.5190438318082253,2.897875767910819,2.7306387109034356
Finland,4.184017985391307,4.8564388870268385,4.559042644116707
France,3.359202918305755,3.8831393352603794,3.6516117594620128
Germany,5.06940561309163,5.870135642946054,5.516166601951011
India,2.0633607712071087,2.3703101798788295,2.234845932206211
Indonesia,2.7220599036022874,3.1247065589927336,2.9470359616206587
Iran,8.210880508343953,9.444464291804078,8.89990795530517
Iraq,4.911372528219711,5.64613678106178,5.321817826886445
Israel,3.9825827442198305,4.615426721393152,4.33562529194379
Italy,3.853972755464874,4.458670467840356,4.191409606426226
Japan,5.688692832550627,6.5858682390824566,6.189281973967788
Kazakhstan,11.942912094235146,13.776934053634525,12.966831044739287
Kenya,0.4831076438005466,0.5542562584220405,0.5228651366936428
Kuwait,18.592686867134553,21.448753174284445,20.187193908970297
Malaysia,7.529045996194394,8.669705239896222,8.166054482579419
Mexico,3.118069974073155,3.5950949369430854,3.384411000905872
Morocco,1.9673351824026273,2.2633270780789942,2.1326585649963326
Netherlands,5.480950899817256,6.345287950613539,5.963218449883741
Nigeria,0.6146098267854135,0.7066244984559915,0.6660091789687312
Norway,5.919230145799594,6.846996668517139,6.436959849913795
Pakistan,1.161845014377256,1.3347071959681167,1.2584186209416948
Philippines,1.5215403013426527,1.7470994698004607,1.6475640788702692
Poland,6.4572331958951965,7.453648246857796,7.013464143883565
Qatar,33.333974468389016,38.42053063949522,36.17415042707743
Russia,11.111396816820758,12.800049148841808,12.05437164606555
Saudi Arabia,15.843886268806296,18.253245445525735,17.189299111627946
South Africa,5.133283153434487,5.9358578657301555,5.581175912144368
South Korea,8.969332378376933,10.367922778535721,9.749889961386764
Spain,3.6097869699158043,4.1741487951959675,3.9247405252755208
Sweden,1.8468458252217295,2.1450051562685926,2.0131188942503093
Thailand,3.834161247491626,4.420311061964593,4.161436018008913
Turkey,5.107662040898551,5.8796325344495335,5.538796233751758
UAE,21.157834062995637,24.386528928247092,22.960635889413478
Ukraine,2.6495680605514873,3.0782248281585307,2.888603412999337
United Kingdom,2.9939129081211386,3.472502433858492,3.260865895136333
United States,11.513966468150292,13.30127553128824,12.51156887164664
Venezuela,3.4174878127984947,3.955706153543809,3.717802334971853
Vietnam,4.935622631028008,5.64956447326177,5.334720141652682
