market,currency,forecast_step,forecast_date,forecast_price,lower_95,upper_95
California,USD,1,2026-05-01,31.781278755294935,30.20179235990796,33.443368767165424
California,USD,2,2026-05-04,31.801329378746992,30.215520807549165,33.47036632917752
California,USD,3,2026-05-05,31.800562703445294,30.204095962436057,33.48141224003028
California,USD,4,2026-05-06,31.800592009564923,30.193742534862064,33.49295474024695
California,USD,5,2026-05-07,31.80059088932669,30.183423116941324,33.504403294228034
California,USD,6,2026-05-08,31.800590932148225,30.1731757718222,33.51578207350082
California,USD,7,2026-05-11,31.80059093051135,30.162997631650878,33.52709156693892
California,USD,8,2026-05-12,31.80059093057393,30.15288743514405,33.53833312676477
California,USD,9,2026-05-13,31.80059093057154,30.142843902668282,33.549508029135545
California,USD,10,2026-05-14,31.800590930571627,30.132865796374876,33.56061751203285
California,USD,11,2026-05-15,31.800590930571627,30.122951916147713,33.57166277556778
California,USD,12,2026-05-18,31.800590930571627,30.113101098095356,33.582644983631965
California,USD,13,2026-05-19,31.800590930571627,30.103312213035586,33.593565265407655
California,USD,14,2026-05-20,31.800590930571627,30.093584165063593,33.60442471679968
California,USD,15,2026-05-21,31.800590930571627,30.0839158901951,33.615224401792325
California,USD,16,2026-05-22,31.800590930571627,30.074306355079838,33.625965353735914
California,USD,17,2026-05-25,31.800590930571627,30.0647545557809,33.636648576567346
California,USD,18,2026-05-26,31.800590930571627,30.05525951661596,33.647275045968996
California,USD,19,2026-05-27,31.800590930571627,30.04582028905647,33.65784571046942
California,USD,20,2026-05-28,31.800590930571627,30.03643595068144,33.66836149248964
California,USD,21,2026-05-29,31.800590930571627,30.027105604182488,33.678823289338055
California,USD,22,2026-06-01,31.800590930571627,30.017828376417057,33.689231974157245
California,USD,23,2026-06-02,31.800590930571627,30.00860341750713,33.69958839682527
California,USD,24,2026-06-03,31.800590930571627,29.99942989998058,33.70989338481426
California,USD,25,2026-06-04,31.800590930571627,29.990307017952954,33.72014774400869
California,USD,26,2026-06-05,31.800590930571627,29.98123398634721,33.73035225948564
California,USD,27,2026-06-08,31.800590930571627,29.97221004014936,33.74050769625912
California,USD,28,2026-06-09,31.800590930571627,29.96323443369804,33.75061479999051
California,USD,29,2026-06-10,31.800590930571627,29.954306440006018,33.760674297667066
California,USD,30,2026-06-11,31.800590930571627,29.945425350112032,33.770686898250084
China_ETS,CNY,1,2026-05-01,114.81310914897841,108.77294882066774,121.1886794959312
China_ETS,CNY,2,2026-05-04,114.89490854216757,108.7980942002131,121.3333754231073
China_ETS,CNY,3,2026-05-05,114.89015715006309,108.69576840037497,121.43755368052264
China_ETS,CNY,4,2026-05-06,114.89043304106664,108.60285569790366,121.5420305436647
China_ETS,CNY,5,2026-05-07,114.89041702104282,108.51097299291409,121.64491349765235
China_ETS,CNY,6,2026-05-08,114.89041795126833,108.4205332440595,121.74638642759447
China_ETS,CNY,7,2026-05-11,114.8904178972535,108.33144852660182,121.84650260043564
China_ETS,CNY,8,2026-05-12,114.89041790039,108.24366423849436,121.94531863077903
China_ETS,CNY,9,2026-05-13,114.89041790020785,108.15712786811412,122.04288691338158
China_ETS,CNY,10,2026-05-14,114.89041790021847,108.07179042814315,122.13925644234962
China_ETS,CNY,11,2026-05-15,114.89041790021786,107.98760604720819,122.23447308866382
China_ETS,CNY,12,2026-05-18,114.89041790021786,107.90453170429629,122.32857987336172
China_ETS,CNY,13,2026-05-19,114.89041790021786,107.82252698653093,122.42161720932032
China_ETS,CNY,14,2026-05-20,114.89041790021786,107.74155387307916,122.51362311737431
China_ETS,CNY,15,2026-05-21,114.89041790021786,107.66157654152994,122.60463341993638
China_ETS,CNY,16,2026-05-22,114.89041790021786,107.58256119396819,122.69468191492332
China_ETS,CNY,17,2026-05-25,114.89041790021786,107.50447590034968,122.78380053238105
China_ETS,CNY,18,2026-05-26,114.89041790021786,107.42729045711818,122.8720194758675
China_ETS,CNY,19,2026-05-27,114.89041790021786,107.35097625929146,122.95936735036659
China_ETS,CNY,20,2026-05-28,114.89041790021786,107.27550618447808,123.04587127827142
China_ETS,CNY,21,2026-05-29,114.89041790021786,107.20085448749508,123.1315570047667
China_ETS,CNY,22,2026-06-01,114.89041790021786,107.12699670442406,123.21644899377247
China_ETS,CNY,23,2026-06-02,114.89041790021786,107.05390956509325,123.30057051546225
China_ETS,CNY,24,2026-06-03,114.89041790021786,106.98157091309879,123.38394372624153
China_ETS,CNY,25,2026-06-04,114.89041790021786,106.9099596325847,123.46658974196804
China_ETS,CNY,26,2026-06-05,114.89041790021786,106.83905558109934,123.54852870509507
China_ETS,CNY,27,2026-06-08,114.89041790021786,106.76883952791965,123.62977984634739
China_ETS,CNY,28,2026-06-09,114.89041790021786,106.69929309731134,123.71036154146098
China_ETS,CNY,29,2026-06-10,114.89041790021786,106.63039871624954,123.79029136346242
China_ETS,CNY,30,2026-06-11,114.89041790021786,106.56213956617806,123.86958613090957
